"BehaviorSpace results (NetLogo 6.2.2)"
"Modelo-Melhorado.nlogo"
"experiment"
"10/30/2022 15:37:48:802 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","1"
"n_basics","30",,
"n_experts","10",,
"percentagem_alimento_verde","5",,
"gems","10",,
"percentagem_alimento_amarelo","5",,
"abrigos","5",,
"percentagem_armadilhas","2",,
"[reporter]","count basics","count experts","count mages"
"[final]","545","0","10"
"[min]","17","0","0"
"[max]","557","16","10"
"[mean]","194.475","2.728","9.02"
"[steps]","999","999","999"

"[all run data]","count basics","count experts","count mages"
,"30","10","0"
,"29","9","0"
,"28","9","1"
,"27","8","3"
,"26","7","3"
,"24","7","3"
,"23","7","3"
,"23","7","3"
,"23","7","3"
,"23","7","3"
,"21","7","4"
,"20","7","4"
,"20","7","4"
,"20","7","4"
,"20","7","4"
,"21","7","4"
,"21","7","4"
,"20","7","4"
,"20","7","5"
,"20","7","5"
,"19","7","5"
,"19","7","5"
,"19","7","5"
,"20","7","6"
,"20","6","6"
,"19","6","6"
,"19","6","6"
,"19","6","6"
,"20","6","6"
,"21","6","6"
,"21","6","6"
,"21","6","7"
,"21","5","7"
,"18","5","7"
,"18","5","7"
,"17","5","8"
,"18","5","8"
,"19","5","8"
,"20","5","8"
,"21","5","8"
,"23","5","8"
,"25","5","8"
,"24","5","8"
,"24","5","8"
,"25","4","8"
,"26","4","8"
,"28","4","8"
,"30","4","8"
,"30","4","8"
,"31","4","8"
,"33","4","8"
,"34","4","8"
,"35","4","8"
,"36","4","8"
,"37","4","8"
,"39","4","8"
,"38","4","8"
,"31","4","8"
,"31","4","8"
,"32","4","8"
,"32","4","8"
,"31","4","8"
,"28","3","8"
,"29","3","8"
,"29","2","8"
,"32","2","8"
,"33","2","8"
,"33","2","8"
,"35","2","8"
,"36","2","8"
,"38","2","8"
,"40","2","8"
,"43","2","8"
,"45","2","8"
,"45","2","8"
,"48","2","9"
,"49","2","9"
,"49","2","9"
,"51","2","9"
,"50","2","9"
,"51","2","9"
,"51","2","9"
,"49","2","9"
,"49","2","9"
,"48","2","9"
,"47","2","9"
,"46","2","9"
,"46","2","10"
,"47","2","10"
,"46","3","10"
,"44","3","10"
,"43","3","10"
,"44","3","10"
,"46","3","10"
,"47","3","10"
,"50","3","10"
,"50","3","10"
,"46","3","10"
,"45","3","10"
,"46","3","10"
,"49","3","10"
,"48","3","10"
,"49","3","10"
,"50","3","10"
,"50","3","10"
,"51","3","10"
,"50","3","10"
,"52","3","10"
,"54","3","10"
,"54","3","10"
,"54","3","10"
,"55","3","10"
,"57","3","10"
,"60","3","10"
,"60","3","10"
,"62","3","10"
,"66","3","10"
,"63","3","10"
,"62","3","10"
,"61","3","10"
,"66","3","10"
,"66","3","10"
,"63","3","10"
,"62","3","10"
,"61","3","10"
,"61","3","10"
,"61","3","10"
,"60","3","10"
,"61","3","10"
,"59","3","10"
,"56","3","10"
,"58","3","10"
,"59","2","10"
,"62","2","10"
,"62","2","10"
,"65","2","10"
,"65","2","10"
,"67","2","10"
,"68","2","10"
,"70","2","10"
,"71","3","10"
,"71","3","10"
,"72","3","10"
,"74","3","10"
,"77","3","10"
,"84","3","10"
,"84","3","10"
,"85","3","10"
,"89","4","10"
,"92","4","10"
,"95","4","10"
,"98","4","9"
,"100","4","7"
,"100","4","9"
,"105","4","9"
,"106","5","9"
,"107","5","9"
,"110","5","9"
,"115","5","9"
,"116","5","8"
,"115","5","8"
,"115","5","8"
,"117","5","8"
,"121","5","8"
,"124","5","8"
,"122","5","8"
,"120","5","8"
,"122","5","7"
,"123","5","7"
,"124","6","8"
,"123","6","8"
,"125","6","8"
,"123","6","8"
,"119","7","8"
,"116","7","8"
,"112","7","8"
,"112","7","8"
,"113","7","8"
,"110","7","8"
,"105","7","8"
,"103","7","7"
,"103","7","7"
,"104","8","8"
,"106","8","8"
,"101","8","7"
,"95","8","7"
,"92","8","7"
,"91","8","7"
,"90","8","8"
,"88","8","8"
,"85","8","8"
,"84","9","8"
,"84","9","8"
,"82","9","8"
,"82","10","9"
,"81","10","9"
,"79","9","10"
,"80","9","10"
,"78","9","10"
,"79","9","10"
,"80","9","10"
,"80","9","10"
,"79","9","10"
,"78","10","10"
,"77","10","10"
,"80","10","10"
,"77","10","10"
,"76","9","10"
,"75","10","10"
,"70","10","10"
,"69","10","10"
,"64","10","10"
,"64","10","10"
,"65","10","10"
,"63","10","10"
,"64","10","10"
,"64","11","10"
,"63","11","10"
,"64","11","10"
,"62","11","10"
,"62","11","10"
,"65","11","10"
,"67","11","10"
,"70","11","10"
,"71","11","9"
,"72","11","9"
,"73","11","9"
,"73","11","9"
,"76","11","9"
,"76","12","9"
,"76","12","9"
,"75","12","9"
,"76","12","10"
,"76","14","10"
,"77","14","10"
,"74","15","10"
,"70","16","9"
,"65","16","9"
,"64","16","9"
,"61","16","10"
,"59","14","10"
,"60","15","10"
,"59","15","10"
,"60","14","10"
,"61","14","10"
,"62","14","10"
,"61","13","10"
,"62","13","10"
,"63","13","10"
,"64","13","10"
,"64","13","10"
,"62","13","10"
,"60","13","10"
,"61","13","10"
,"63","13","10"
,"63","13","10"
,"62","13","10"
,"64","13","10"
,"64","14","10"
,"61","14","10"
,"61","14","10"
,"59","14","10"
,"56","14","10"
,"56","14","10"
,"54","15","10"
,"55","15","10"
,"52","16","10"
,"47","16","10"
,"47","16","10"
,"45","16","10"
,"45","16","10"
,"43","16","10"
,"45","16","10"
,"46","16","10"
,"48","16","10"
,"49","16","10"
,"50","16","10"
,"50","15","10"
,"50","15","10"
,"48","16","10"
,"47","15","10"
,"46","15","10"
,"42","16","10"
,"39","16","10"
,"40","16","10"
,"41","14","10"
,"41","14","10"
,"41","14","10"
,"41","14","10"
,"37","15","10"
,"37","13","10"
,"39","13","10"
,"39","12","10"
,"39","12","10"
,"40","12","10"
,"40","12","10"
,"40","10","10"
,"37","9","10"
,"39","9","10"
,"39","9","10"
,"38","10","10"
,"37","9","10"
,"38","8","8"
,"37","7","8"
,"36","7","8"
,"35","7","8"
,"33","6","8"
,"33","6","8"
,"32","6","9"
,"31","6","9"
,"30","6","9"
,"31","5","9"
,"32","5","9"
,"33","5","9"
,"35","5","9"
,"38","5","10"
,"38","4","10"
,"38","4","10"
,"37","5","9"
,"37","5","9"
,"38","4","9"
,"35","4","8"
,"35","4","8"
,"34","4","8"
,"35","4","8"
,"33","4","8"
,"33","4","8"
,"33","4","8"
,"32","4","9"
,"32","4","9"
,"32","4","9"
,"32","4","8"
,"33","4","8"
,"34","4","8"
,"36","3","8"
,"37","3","8"
,"36","3","9"
,"37","3","8"
,"37","3","9"
,"38","3","9"
,"37","3","9"
,"36","3","9"
,"36","3","9"
,"36","3","8"
,"35","3","8"
,"35","3","8"
,"35","3","8"
,"35","3","8"
,"35","3","8"
,"36","3","8"
,"37","3","8"
,"37","2","8"
,"37","2","8"
,"35","2","8"
,"36","2","8"
,"34","2","8"
,"34","2","8"
,"34","2","8"
,"35","2","8"
,"36","2","8"
,"36","2","8"
,"37","2","8"
,"38","2","8"
,"38","2","8"
,"38","2","8"
,"39","2","8"
,"39","2","8"
,"38","2","8"
,"37","2","8"
,"36","2","8"
,"36","2","8"
,"36","2","8"
,"37","2","8"
,"38","3","8"
,"39","3","8"
,"39","3","8"
,"39","3","8"
,"38","3","8"
,"38","3","8"
,"39","3","8"
,"39","3","8"
,"40","3","7"
,"41","3","7"
,"39","3","7"
,"40","3","7"
,"38","3","7"
,"38","3","7"
,"37","3","7"
,"37","3","6"
,"37","3","6"
,"37","3","6"
,"36","4","6"
,"35","4","6"
,"33","4","6"
,"34","4","6"
,"33","4","6"
,"33","4","6"
,"33","4","6"
,"34","4","6"
,"34","3","6"
,"34","3","6"
,"35","3","6"
,"34","3","6"
,"32","3","6"
,"31","3","7"
,"31","3","7"
,"31","3","7"
,"31","3","7"
,"32","3","7"
,"32","3","7"
,"33","3","7"
,"33","3","7"
,"33","3","7"
,"33","3","7"
,"33","3","7"
,"33","3","7"
,"33","3","7"
,"32","3","7"
,"32","3","7"
,"32","3","7"
,"31","3","7"
,"32","3","8"
,"31","3","8"
,"31","3","8"
,"31","3","8"
,"31","3","8"
,"29","3","8"
,"29","3","8"
,"30","3","8"
,"30","3","8"
,"30","3","8"
,"30","3","8"
,"30","2","8"
,"29","2","8"
,"29","2","8"
,"27","2","8"
,"27","2","8"
,"27","2","8"
,"25","2","8"
,"25","2","8"
,"25","2","8"
,"25","2","8"
,"25","2","8"
,"24","2","8"
,"25","2","8"
,"25","2","8"
,"26","2","8"
,"28","2","8"
,"29","2","8"
,"30","2","8"
,"30","2","8"
,"33","2","8"
,"32","1","8"
,"31","1","8"
,"31","1","8"
,"30","1","8"
,"29","1","8"
,"30","1","7"
,"32","1","7"
,"34","1","7"
,"34","1","7"
,"34","1","7"
,"33","1","7"
,"33","1","7"
,"31","1","7"
,"31","1","7"
,"30","1","7"
,"29","1","7"
,"29","1","7"
,"29","1","7"
,"29","0","7"
,"29","0","7"
,"30","0","7"
,"31","0","7"
,"31","0","7"
,"32","0","7"
,"33","0","8"
,"33","0","7"
,"34","0","7"
,"34","0","8"
,"34","0","9"
,"33","0","10"
,"32","0","10"
,"32","0","10"
,"33","0","10"
,"36","0","9"
,"38","0","10"
,"40","0","9"
,"43","0","9"
,"44","0","9"
,"43","0","9"
,"45","0","9"
,"47","0","9"
,"47","0","9"
,"49","0","8"
,"51","0","8"
,"52","0","8"
,"54","0","8"
,"50","0","8"
,"50","0","8"
,"50","0","9"
,"52","0","9"
,"53","0","9"
,"52","0","9"
,"51","0","9"
,"52","0","9"
,"51","0","9"
,"51","0","9"
,"52","0","9"
,"54","0","9"
,"56","0","9"
,"59","0","9"
,"60","0","9"
,"62","0","9"
,"62","0","9"
,"63","0","9"
,"64","0","9"
,"62","0","9"
,"62","0","9"
,"62","0","9"
,"63","0","9"
,"64","0","9"
,"65","0","9"
,"66","0","9"
,"65","0","9"
,"66","0","9"
,"70","0","9"
,"71","0","9"
,"73","0","9"
,"74","0","9"
,"76","0","10"
,"76","0","10"
,"78","0","10"
,"77","0","10"
,"75","0","10"
,"75","0","10"
,"78","0","10"
,"81","0","10"
,"82","0","10"
,"84","0","10"
,"85","0","10"
,"88","0","10"
,"91","0","10"
,"95","0","10"
,"97","0","10"
,"97","0","10"
,"97","0","10"
,"99","0","10"
,"102","0","10"
,"107","0","10"
,"110","0","10"
,"112","0","10"
,"115","0","10"
,"120","0","9"
,"124","0","9"
,"126","0","9"
,"129","0","9"
,"135","0","9"
,"142","0","9"
,"141","0","9"
,"140","0","9"
,"143","0","9"
,"146","0","9"
